^Full Path^|^Length^|^Creation Time Utc^
^C:\Program Files\Microsoft SQL Server\100\Setup Bootstrap\Release\x64\Microsoft.SqlServer.Configuration.SetupExtension.dll^|^673640^|^9/23/2011 4:31:54 AM^
^C:\Program Files\Microsoft SQL Server\100\Setup Bootstrap\Release\x64\Microsoft.SqlServer.Configuration.Sfc.dll^|^407400^|^9/23/2011 4:31:54 AM^
^C:\Program Files\Microsoft SQL Server\100\Setup Bootstrap\Release\x64\Microsoft.SqlServer.Configuration.SlpExtension.dll^|^63336^|^9/23/2011 4:31:54 AM^
^C:\Program Files\Microsoft SQL Server\100\Setup Bootstrap\Release\x64\Microsoft.SqlServer.Configuration.Smo.dll^|^2860904^|^9/23/2011 4:31:54 AM^
^C:\Program Files\Microsoft SQL Server\100\Setup Bootstrap\Release\x64\Microsoft.SqlServer.Configuration.SniServerConfigExt.dll^|^294248^|^9/23/2011 4:31:54 AM^
^C:\Program Files\Microsoft SQL Server\100\Setup Bootstrap\Release\x64\Microsoft.SqlServer.Configuration.SqlBrowserExtension.dll^|^141160^|^9/23/2011 4:31:54 AM^
^C:\Program Files\Microsoft SQL Server\100\Setup Bootstrap\Release\x64\Microsoft.SqlServer.Configuration.SqlConfigBase.dll^|^59240^|^9/23/2011 4:31:54 AM^
^C:\Program Files\Microsoft SQL Server\100\Setup Bootstrap\Release\x64\Microsoft.SqlServer.Configuration.SqlEnum.dll^|^1083240^|^9/23/2011 4:31:54 AM^
^C:\Program Files\Microsoft SQL Server\100\Setup Bootstrap\Release\x64\Microsoft.SqlServer.Configuration.SqlServer_ConfigExtension.dll^|^598888^|^9/23/2011 4:31:54 AM^
^C:\Program Files\Microsoft SQL Server\100\Setup Bootstrap\Release\x64\Microsoft.SqlServer.Configuration.SSISExtension.dll^|^79720^|^9/23/2011 4:31:54 AM^
^C:\Program Files\Microsoft SQL Server\100\Setup Bootstrap\Release\x64\Microsoft.SqlServer.Configuration.SString.dll^|^21864^|^9/23/2011 4:31:54 AM^
^C:\Program Files\Microsoft SQL Server\100\Setup Bootstrap\Release\x64\Microsoft.SqlServer.Configuration.UIExtension.dll^|^63336^|^9/23/2011 4:31:54 AM^
^C:\Program Files\Microsoft SQL Server\100\Setup Bootstrap\Release\x64\Microsoft.SqlServer.Configuration.WizardFramework.dll^|^194408^|^9/23/2011 4:31:54 AM^
^C:\Program Files\Microsoft SQL Server\100\Setup Bootstrap\Release\x64\Microsoft.SqlServer.CustomControls.dll^|^42856^|^9/23/2011 4:31:54 AM^
^C:\Program Files\Microsoft SQL Server\100\Setup Bootstrap\Release\x64\Microsoft.SqlServer.Discovery.dll^|^329576^|^9/23/2011 4:31:54 AM^
^C:\Program Files\Microsoft SQL Server\100\Setup Bootstrap\Release\x64\Microsoft.SqlServer.InstApi.dll^|^46104^|^7/10/2008 12:40:42 PM^
^C:\Program Files\Microsoft SQL Server\100\Setup Bootstrap\Release\x64\Microsoft.SqlServer.Interop.MSClusterLib.dll^|^87912^|^9/23/2011 4:31:56 AM^
^C:\Program Files\Microsoft SQL Server\100\Setup Bootstrap\Release\x64\Microsoft.SqlServer.Management.Controls.dll^|^206696^|^9/23/2011 4:31:56 AM^
^C:\Program Files\Microsoft SQL Server\100\Setup Bootstrap\Release\x64\Microsoft.SqlServer.Setup.Chainer.Workflow.dll^|^75624^|^9/23/2011 4:33:32 AM^
^C:\Program Files\Microsoft SQL Server\100\Setup Bootstrap\Release\x64\Microsoft.SqlServer.SqlTDiagM.dll^|^50200^|^7/10/2008 12:40:48 PM^
^C:\Program Files\Microsoft SQL Server\100\Setup Bootstrap\Release\x64\Package.xsd^|^22068^|^9/14/2011 7:16:10 AM^
^C:\Program Files\Microsoft SQL Server\100\Setup Bootstrap\Release\x64\pidgen.dll^|^38936^|^7/10/2008 12:46:44 PM^
^C:\Program Files\Microsoft SQL Server\100\Setup Bootstrap\Release\x64\PrepareClusterWizard.xml^|^9638^|^9/14/2011 7:16:28 AM^
^C:\Program Files\Microsoft SQL Server\100\Setup Bootstrap\Release\x64\RemoveNode.xml^|^3714^|^7/4/2008 6:05:04 AM^
^C:\Program Files\Microsoft SQL Server\100\Setup Bootstrap\Release\x64\RepairWizard.xml^|^4325^|^7/4/2008 6:05:04 AM^
^C:\Program Files\Microsoft SQL Server\100\Setup Bootstrap\Release\x64\RunRulesUI.xml^|^1267^|^7/4/2008 6:05:04 AM^
^C:\Program Files\Microsoft SQL Server\100\Setup Bootstrap\Release\x64\SBSADCheck.dll^|^21016^|^7/10/2008 1:31:00 PM^
^C:\Program Files\Microsoft SQL Server\100\Setup Bootstrap\Release\x64\setup100.exe^|^59240^|^9/23/2011 4:30:36 AM^
^C:\Program Files\Microsoft SQL Server\100\Setup Bootstrap\Release\x64\setup100.exe.config^|^331^|^8/24/2011 12:32:20 AM^
^C:\Program Files\Microsoft SQL Server\100\Setup Bootstrap\Release\x64\SetupARP.exe^|^78872^|^7/10/2008 1:31:00 PM^
^C:\Program Files\Microsoft SQL Server\100\Setup Bootstrap\Release\x64\SetupARP.exe.config^|^331^|^8/24/2011 12:32:20 AM^
^C:\Program Files\Microsoft SQL Server\100\Setup Bootstrap\Release\x64\sql2kupgrade.dll^|^265576^|^9/23/2011 5:06:04 AM^
^C:\Program Files\Microsoft SQL Server\100\Setup Bootstrap\Release\x64\sqlboot.dll^|^88936^|^9/23/2011 5:06:04 AM^
